type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-01-02 08:30:09.999,59.32005407,18.07145826,8.00,33.518,,4.764,73,20,35,,
T,2023-01-02 08:30:10.999,59.32006951,18.07154394,8.00,33.087,,4.646,74,24,35,,
T,2023-01-02 08:30:11.999,59.32008531,18.07163273,8.00,32.727,,4.617,71,22,35,,
T,2023-01-02 08:30:12.999,59.32009574,18.07170214,8.00,31.972,,4.256,73,22,35,,
T,2023-01-02 08:30:13.999,59.32010333,18.07176597,8.00,31.643,,3.806,76,21,35,,
T,2023-01-02 08:30:14.999,59.32011110,18.07182358,8.00,31.540,,2.336,76,24,35,,
T,2023-01-02 08:30:15.999,59.32011568,18.07185349,8.00,31.452,,1.817,77,21,35,,
T,2023-01-02 08:30:16.999,59.32011819,18.07188647,8.00,31.442,,1.819,77,19,35,,
T,2023-01-02 08:30:17.999,59.32012205,18.07191543,8.00,31.467,,1.427,79,26,35,,
T,2023-01-02 08:30:18.999,59.32012223,18.07193405,8.00,31.358,,0.806,83,26,35,,
T,2023-01-02 08:30:19.999,59.32012363,18.07194304,8.00,31.301,,0.511,78,26,35,,
T,2023-01-02 08:30:20.999,59.32012418,18.07194813,6.00,31.486,,0.512,84,26,35,,
T,2023-01-02 08:30:21.999,59.32012350,18.07196273,8.00,31.581,,0.583,78,26,35,,
T,2023-01-02 08:30:22.999,59.32012571,18.07197399,8.00,31.653,,0.483,80,26,35,,
T,2023-01-02 08:30:23.999,59.32012610,18.07198410,8.00,31.760,,0.338,77,26,35,,
T,2023-01-02 08:30:24.999,59.32012610,18.07198410,8.00,31.431,,0.000,,20,35,,
T,2023-01-02 08:30:25.999,59.32012610,18.07198410,8.00,31.447,,0.000,,18,35,,
T,2023-01-02 08:30:26.999,59.32012610,18.07198410,8.00,31.429,,0.000,,20,35,,
T,2023-01-02 08:30:27.999,59.32012610,18.07198410,8.00,31.713,,0.000,,19,35,,
T,2023-01-02 08:30:28.999,59.32013198,18.07198418,8.00,31.624,,0.496,73,19,35,,
T,2023-01-02 08:30:29.999,59.32013384,18.07199491,12.00,31.565,,1.062,75,21,35,,
T,2023-01-02 08:30:30.999,59.32013855,18.07202281,12.00,31.467,,2.154,75,24,35,,
T,2023-01-02 08:30:31.999,59.32014751,18.07207314,12.00,31.426,,2.704,72,19,35,,
T,2023-01-02 08:30:32.999,59.32015697,18.07213129,12.00,31.201,,3.304,73,17,35,,
T,2023-01-02 08:30:33.999,59.32016524,18.07219545,8.00,30.521,,3.748,77,21,35,,
T,2023-01-02 08:30:34.999,59.32017219,18.07226962,12.00,30.079,,4.186,80,17,35,,
T,2023-01-02 08:30:35.999,59.32018113,18.07234862,12.00,29.795,,4.514,79,16,35,,
T,2023-01-02 08:30:36.999,59.32019346,18.07243441,12.00,29.828,,4.800,75,16,35,,
T,2023-01-02 08:30:37.999,59.32020413,18.07251728,12.00,29.679,,4.842,76,19,35,,
T,2023-01-02 08:30:38.999,59.32021436,18.07259857,12.00,29.664,,4.829,76,20,35,,
T,2023-01-02 08:30:39.999,59.32022561,18.07268461,12.00,29.532,,5.007,76,14,35,,
T,2023-01-02 08:30:40.999,59.32023391,18.07276564,12.00,29.761,,4.882,77,25,35,,
T,2023-01-02 08:30:41.999,59.32024487,18.07285025,12.00,29.903,,4.831,77,27,35,,
T,2023-01-02 08:30:42.999,59.32025245,18.07293172,8.00,30.058,,4.726,77,27,35,,
T,2023-01-02 08:30:43.999,59.32026169,18.07301246,8.00,29.954,,4.721,77,28,35,,
T,2023-01-02 08:30:44.999,59.32027049,18.07309572,8.00,29.762,,4.812,78,24,35,,
T,2023-01-02 08:30:45.999,59.32028417,18.07317464,8.00,29.589,,4.776,71,23,35,,
T,2023-01-02 08:30:46.999,59.32029889,18.07325267,8.00,29.161,,4.766,70,27,35,,
T,2023-01-02 08:30:47.999,59.32032296,18.07332630,8.00,29.274,,4.934,59,24,35,,
T,2023-01-02 08:30:48.999,59.32035588,18.07338839,8.00,29.404,,4.997,45,22,35,,
T,2023-01-02 08:30:49.999,59.32039198,18.07343026,8.00,29.405,,5.040,33,23,35,,
T,2023-01-02 08:30:50.999,59.32043043,18.07347904,8.00,29.440,,5.061,23,25,35,,
T,2023-01-02 08:30:51.999,59.32047314,18.07350529,8.00,29.109,,5.267,19,25,35,,
T,2023-01-02 08:30:52.999,59.32051859,18.07352924,8.00,28.719,,5.355,18,26,35,,
T,2023-01-02 08:30:53.999,59.32056323,18.07355617,8.00,28.616,,5.289,20,27,35,,
T,2023-01-02 08:30:54.999,59.32061042,18.07358534,6.00,28.594,,5.704,25,27,35,,
T,2023-01-02 08:30:55.999,59.32066118,18.07362076,6.00,28.554,,6.077,24,26,35,,
T,2023-01-02 08:30:56.999,59.32071380,18.07366878,6.00,28.381,,6.233,26,26,35,,
T,2023-01-02 08:30:57.999,59.32076576,18.07371301,6.00,28.331,,6.422,26,25,35,,
T,2023-01-02 08:30:58.999,59.32082112,18.07375857,8.00,28.250,,6.596,26,25,35,,
T,2023-01-02 08:30:59.999,59.32087820,18.07381263,8.00,27.760,,6.693,26,26,35,,
T,2023-01-02 08:31:00.999,59.32093689,18.07386849,8.00,27.772,,6.840,26,26,35,,
T,2023-01-02 08:31:01.999,59.32099472,18.07391643,8.00,27.210,,7.018,26,26,35,,
T,2023-01-02 08:31:02.999,59.32105345,18.07396716,8.00,26.757,,7.092,25,27,35,,
T,2023-01-02 08:31:03.999,59.32111270,18.07401893,8.00,26.927,,7.160,25,28,35,,
T,2023-01-02 08:31:04.999,59.32116875,18.07406957,8.00,26.651,,6.806,24,27,35,,
T,2023-01-02 08:31:05.999,59.32121856,18.07412344,8.00,26.407,,6.450,30,24,35,,
T,2023-01-02 08:31:06.999,59.32126703,18.07418618,8.00,26.221,,6.476,30,26,35,,
T,2023-01-02 08:31:07.999,59.32131568,18.07424629,8.00,26.157,,6.367,31,26,35,,
T,2023-01-02 08:31:08.999,59.32136677,18.07429794,8.00,25.834,,6.206,29,23,35,,
T,2023-01-02 08:31:09.999,59.32141276,18.07434463,8.00,25.411,,5.695,27,26,35,,
T,2023-01-02 08:31:10.999,59.32145701,18.07438209,8.00,25.194,,5.285,23,24,35,,
T,2023-01-02 08:31:11.999,59.32149666,18.07440751,8.00,24.889,,4.675,19,26,35,,
T,2023-01-02 08:31:12.999,59.32153099,18.07442877,8.00,25.063,,3.422,16,26,35,,
T,2023-01-02 08:31:13.999,59.32155704,18.07444119,8.00,25.032,,2.639,12,27,35,,
T,2023-01-02 08:31:14.999,59.32157850,18.07444662,8.00,24.799,,1.830,13,27,35,,
T,2023-01-02 08:31:15.999,59.32159145,18.07445003,8.00,24.458,,1.576,10,28,35,,
T,2023-01-02 08:31:16.999,59.32160419,18.07445268,12.00,24.128,,1.458,10,28,35,,
T,2023-01-02 08:31:17.999,59.32161665,18.07445557,6.00,23.701,,1.171,9,18,35,,
T,2023-01-02 08:31:18.999,59.32162338,18.07445621,8.00,23.892,,1.003,10,17,35,,
T,2023-01-02 08:31:19.999,59.32163134,18.07446002,8.00,23.844,,0.974,12,19,35,,
T,2023-01-02 08:31:20.999,59.32163785,18.07446219,8.00,23.748,,0.724,13,16,35,,
T,2023-01-02 08:31:21.999,59.32164202,18.07446196,8.00,22.995,,0.693,13,19,35,,
T,2023-01-02 08:31:22.999,59.32164951,18.07446027,8.00,23.078,,0.524,13,19,35,,
T,2023-01-02 08:31:23.999,59.32165838,18.07447347,8.00,22.658,,0.431,13,20,35,,
T,2023-01-02 08:31:24.999,59.32165838,18.07447347,8.00,22.292,,0.000,,20,35,,
T,2023-01-02 08:31:25.999,59.32165838,18.07447347,8.00,22.189,,0.000,,19,35,,
T,2023-01-02 08:31:26.999,59.32165838,18.07447347,8.00,21.856,,0.000,,25,35,,
T,2023-01-02 08:31:27.999,59.32168295,18.07447092,8.00,21.624,,0.321,4,23,35,,
T,2023-01-02 08:31:28.999,59.32168295,18.07447092,8.00,21.862,,0.000,,24,35,,
T,2023-01-02 08:31:29.999,59.32169492,18.07447311,8.00,21.979,,0.960,10,12,35,,
T,2023-01-02 08:31:30.999,59.32170005,18.07447531,8.00,22.346,,1.411,15,20,35,,
T,2023-01-02 08:31:31.999,59.32171261,18.07448308,8.00,21.872,,1.877,17,20,35,,
T,2023-01-02 08:31:32.999,59.32174098,18.07450475,12.00,21.649,,3.118,17,19,35,,
T,2023-01-02 08:31:33.999,59.32176955,18.07452265,12.00,21.225,,3.749,17,20,35,,
T,2023-01-02 08:31:34.999,59.32179924,18.07454082,8.00,20.856,,4.295,17,19,35,,
T,2023-01-02 08:31:35.999,59.32183595,18.07455512,8.00,20.575,,4.747,16,17,35,,
T,2023-01-02 08:31:36.999,59.32187681,18.07457825,8.00,19.977,,5.118,16,16,35,,
T,2023-01-02 08:31:37.999,59.32192510,18.07460452,8.00,19.463,,5.575,16,19,35,,
T,2023-01-02 08:31:38.999,59.32197529,18.07463027,8.00,18.822,,5.789,15,18,35,,
T,2023-01-02 08:31:39.999,59.32203215,18.07464441,8.00,18.444,,6.005,14,21,35,,
T,2023-01-02 08:31:40.999,59.32208652,18.07465720,8.00,18.156,,6.096,9,18,35,,
T,2023-01-02 08:31:41.999,59.32214492,18.07466346,12.00,18.165,,6.260,6,18,35,,
T,2023-01-02 08:31:42.999,59.32220155,18.07466787,12.00,18.056,,6.272,5,17,35,,
T,2023-01-02 08:31:43.999,59.32226151,18.07469159,12.00,18.372,,6.402,7,16,35,,
T,2023-01-02 08:31:44.999,59.32231872,18.07470599,8.00,18.117,,5.951,23,18,35,,
T,2023-01-02 08:31:45.999,59.32237799,18.07474633,12.00,17.695,,6.016,21,17,35,,
T,2023-01-02 08:31:46.999,59.32243175,18.07477410,12.00,17.613,,6.236,17,13,35,,
T,2023-01-02 08:31:47.999,59.32248295,18.07480668,12.00,17.724,,5.978,17,17,35,,
T,2023-01-02 08:31:48.999,59.32254090,18.07485504,8.00,19.041,,6.478,18,18,35,,
T,2023-01-02 08:31:49.999,59.32259204,18.07488657,8.00,18.680,,6.097,18,18,34,,
T,2023-01-02 08:31:50.999,59.32264336,18.07491530,8.00,18.662,,6.006,16,17,35,,
T,2023-01-02 08:31:51.999,59.32269627,18.07494463,8.00,18.851,,5.756,16,15,35,,
T,2023-01-02 08:31:52.999,59.32274539,18.07497385,12.00,18.911,,5.619,16,23,34,,
T,2023-01-02 08:31:53.999,59.32279879,18.07500837,8.00,19.233,,5.903,15,23,35,,
T,2023-01-02 08:31:54.999,59.32284678,18.07503921,8.00,19.051,,5.863,16,24,35,,
T,2023-01-02 08:31:55.999,59.32290053,18.07506852,8.00,19.716,,6.199,16,24,35,,
T,2023-01-02 08:31:56.999,59.32295236,18.07510074,8.00,19.705,,6.105,17,21,35,,
T,2023-01-02 08:31:57.999,59.32300173,18.07512979,8.00,19.749,,5.908,17,22,35,,
T,2023-01-02 08:31:58.999,59.32304800,18.07515566,8.00,19.965,,5.304,16,22,35,,
T,2023-01-02 08:31:59.999,59.32308841,18.07518032,8.00,19.705,,5.068,17,20,35,,
T,2023-01-02 08:32:00.999,59.32313069,18.07520646,8.00,20.558,,4.873,24,25,35,,
T,2023-01-02 08:32:01.999,59.32317451,18.07523155,8.00,20.183,,4.346,23,24,34,,
T,2023-01-02 08:32:02.999,59.32320827,18.07526411,8.00,19.488,,4.432,22,21,35,,
T,2023-01-02 08:32:03.999,59.32324531,18.07529383,8.00,19.344,,4.151,37,23,34,,
T,2023-01-02 08:32:04.999,59.32326269,18.07537339,8.00,18.743,,4.616,65,22,35,,
T,2023-01-02 08:32:05.999,59.32327798,18.07545002,8.00,18.757,,4.625,86,24,35,,
T,2023-01-02 08:32:06.999,59.32327781,18.07553687,12.00,18.491,,4.658,88,22,35,,
T,2023-01-02 08:32:07.999,59.32327776,18.07562433,12.00,18.454,,4.725,87,20,35,,
T,2023-01-02 08:32:08.999,59.32328058,18.07571491,8.00,17.841,,4.612,80,23,35,,
T,2023-01-02 08:32:09.999,59.32328945,18.07579962,8.00,17.884,,4.451,75,21,34,,
T,2023-01-02 08:32:10.999,59.32330534,18.07587123,8.00,17.823,,4.178,65,20,34,,
T,2023-01-02 08:32:11.999,59.32333027,18.07592861,8.00,17.807,,4.265,46,18,34,,
T,2023-01-02 08:32:12.999,59.32336287,18.07597482,6.00,17.941,,4.349,31,23,35,,
T,2023-01-02 08:32:13.999,59.32340042,18.07600755,6.00,17.973,,4.436,22,20,34,,
T,2023-01-02 08:32:14.999,59.32343841,18.07603165,6.00,18.007,,4.480,18,15,35,,
T,2023-01-02 08:32:15.999,59.32347613,18.07605491,8.00,18.083,,4.439,18,28,35,,
T,2023-01-02 08:32:16.999,59.32351280,18.07607535,8.00,17.748,,4.383,16,27,35,,
T,2023-01-02 08:32:17.999,59.32355066,18.07609687,8.00,17.772,,4.517,14,26,35,,
T,2023-01-02 08:32:18.999,59.32358815,18.07611019,8.00,17.566,,4.450,11,27,35,,
T,2023-01-02 08:32:19.999,59.32362657,18.07612304,8.00,17.526,,4.415,9,26,35,,
T,2023-01-02 08:32:20.999,59.32366676,18.07613611,8.00,17.676,,4.553,9,27,35,,
T,2023-01-02 08:32:21.999,59.32370097,18.07614516,8.00,17.402,,4.424,11,27,35,,
T,2023-01-02 08:32:22.999,59.32373925,18.07615990,8.00,17.016,,4.361,11,25,35,,
T,2023-01-02 08:32:23.999,59.32377606,18.07617380,6.00,17.582,,4.529,10,26,35,,
T,2023-01-02 08:32:24.999,59.32381250,18.07618936,6.00,17.863,,4.473,10,27,34,,
T,2023-01-02 08:32:25.999,59.32385033,18.07619985,6.00,17.681,,4.339,9,28,35,,
T,2023-01-02 08:32:26.999,59.32388922,18.07621630,6.00,17.589,,4.435,9,26,35,,
T,2023-01-02 08:32:27.999,59.32392730,18.07623409,6.00,17.320,,4.354,9,27,35,,
T,2023-01-02 08:32:28.999,59.32396626,18.07624925,6.00,17.132,,4.342,10,26,35,,
T,2023-01-02 08:32:29.999,59.32400557,18.07626226,6.00,17.392,,4.351,11,27,35,,
T,2023-01-02 08:32:30.999,59.32404462,18.07627451,6.00,17.424,,4.365,10,28,34,,
T,2023-01-02 08:32:31.999,59.32408411,18.07628614,6.00,17.893,,4.475,10,27,35,,
T,2023-01-02 08:32:32.999,59.32412172,18.07629895,6.00,18.079,,4.408,9,28,35,,
T,2023-01-02 08:32:33.999,59.32415816,18.07630897,6.00,18.199,,4.426,7,27,34,,
T,2023-01-02 08:32:34.999,59.32419793,18.07632004,8.00,18.006,,4.411,7,28,35,,
T,2023-01-02 08:32:35.999,59.32423845,18.07633333,8.00,18.036,,4.414,10,27,35,,
T,2023-01-02 08:32:36.999,59.32427752,18.07634929,8.00,18.030,,4.368,12,26,35,,
T,2023-01-02 08:32:37.999,59.32431581,18.07635978,8.00,17.802,,4.321,10,24,34,,
T,2023-01-02 08:32:38.999,59.32435212,18.07637061,8.00,17.771,,4.345,6,27,34,,
T,2023-01-02 08:32:39.999,59.32439251,18.07637642,8.00,17.763,,4.475,4,26,34,,
T,2023-01-02 08:32:40.999,59.32443397,18.07638133,8.00,17.501,,4.495,5,27,34,,
T,2023-01-02 08:32:41.999,59.32447243,18.07639620,8.00,17.258,,4.400,11,26,35,,
T,2023-01-02 08:32:42.999,59.32451349,18.07641102,6.00,17.405,,4.375,18,28,35,,
T,2023-01-02 08:32:43.999,59.32455206,18.07643575,6.00,17.664,,4.625,17,27,35,,
T,2023-01-02 08:32:44.999,59.32459261,18.07645787,6.00,17.739,,4.642,12,27,35,,
T,2023-01-02 08:32:45.999,59.32463370,18.07647587,8.00,17.347,,4.640,13,27,35,,
T,2023-01-02 08:32:46.999,59.32467322,18.07649469,8.00,16.812,,4.632,14,26,35,,
T,2023-01-02 08:32:47.999,59.32471482,18.07651142,8.00,16.683,,4.649,13,28,35,,
T,2023-01-02 08:32:48.999,59.32475717,18.07652717,8.00,16.700,,4.698,12,28,34,,
T,2023-01-02 08:32:49.999,59.32479912,18.07654063,8.00,16.849,,4.603,11,27,35,,
T,2023-01-02 08:32:50.999,59.32484050,18.07655504,8.00,16.685,,4.416,11,27,35,,
T,2023-01-02 08:32:51.999,59.32488167,18.07657433,8.00,16.433,,4.592,13,26,35,,
T,2023-01-02 08:32:52.999,59.32492340,18.07659193,8.00,16.092,,4.565,12,27,35,,
T,2023-01-02 08:32:53.999,59.32496374,18.07661052,8.00,15.940,,4.632,13,24,35,,
T,2023-01-02 08:32:54.999,59.32500614,18.07662654,8.00,15.676,,4.599,10,26,35,,
T,2023-01-02 08:32:55.999,59.32504615,18.07663742,8.00,15.387,,4.488,7,25,35,,
T,2023-01-02 08:32:56.999,59.32508734,18.07664599,8.00,15.206,,4.506,5,23,34,,
T,2023-01-02 08:32:57.999,59.32512716,18.07665267,8.00,15.296,,4.511,4,25,34,,
T,2023-01-02 08:32:58.999,59.32516816,18.07665657,8.00,15.346,,4.052,7,15,35,,
T,2023-01-02 08:32:59.999,59.32520934,18.07666117,8.00,15.672,,4.401,356,21,35,,
T,2023-01-02 08:33:00.999,59.32525318,18.07664462,6.00,15.318,,4.664,350,21,35,,
T,2023-01-02 08:33:01.999,59.32529069,18.07661978,6.00,15.517,,4.616,343,21,35,,
T,2023-01-02 08:33:02.999,59.32532997,18.07659174,6.00,15.799,,4.275,343,22,35,,
T,2023-01-02 08:33:03.999,59.32536463,18.07656195,6.00,15.056,,4.058,342,24,35,,
T,2023-01-02 08:33:04.999,59.32539996,18.07653114,6.00,14.766,,3.781,344,23,35,,
T,2023-01-02 08:33:05.999,59.32543567,18.07650656,6.00,14.794,,3.717,343,19,34,,
T,2023-01-02 08:33:06.999,59.32546749,18.07648387,6.00,14.824,,3.832,342,24,34,,
T,2023-01-02 08:33:07.999,59.32550268,18.07645897,6.00,14.856,,3.701,342,16,34,,
T,2023-01-02 08:33:08.999,59.32553362,18.07643094,8.00,14.748,,3.879,342,24,35,,
T,2023-01-02 08:33:09.999,59.32557641,18.07639812,8.00,14.478,,4.014,341,19,35,,
T,2023-01-02 08:33:10.999,59.32561426,18.07636242,8.00,14.320,,4.143,339,24,35,,
T,2023-01-02 08:33:11.999,59.32565281,18.07632367,8.00,14.339,,4.341,339,23,35,,
T,2023-01-02 08:33:12.999,59.32569068,18.07629022,8.00,13.620,,4.216,338,20,34,,
T,2023-01-02 08:33:13.999,59.32573016,18.07625797,8.00,13.444,,4.288,336,21,35,,
T,2023-01-02 08:33:14.999,59.32576744,18.07622591,8.00,13.186,,4.089,334,22,34,,
T,2023-01-02 08:33:15.999,59.32580638,18.07619217,8.00,13.348,,4.248,333,21,34,,
T,2023-01-02 08:33:16.999,59.32584224,18.07616701,8.00,13.618,,4.467,335,18,34,,
T,2023-01-02 08:33:17.999,59.32588219,18.07613400,8.00,14.113,,4.553,336,18,35,,
T,2023-01-02 08:33:18.999,59.32592360,18.07610138,12.00,14.364,,3.788,337,15,35,,
T,2023-01-02 08:33:19.999,59.32596228,18.07606904,8.00,14.478,,4.538,337,17,34,,
T,2023-01-02 08:33:20.999,59.32599901,18.07603921,8.00,14.320,,4.474,338,16,35,,
T,2023-01-02 08:33:21.999,59.32603846,18.07600788,8.00,14.326,,4.518,339,15,34,,
T,2023-01-02 08:33:22.999,59.32607532,18.07597734,8.00,14.576,,4.439,339,17,34,,
T,2023-01-02 08:33:23.999,59.32610683,18.07595039,8.00,14.396,,4.156,337,22,35,,
T,2023-01-02 08:33:24.999,59.32614085,18.07592158,8.00,14.134,,4.014,337,18,35,,
T,2023-01-02 08:33:25.999,59.32617231,18.07589791,8.00,14.025,,4.158,335,17,35,,
T,2023-01-02 08:33:26.999,59.32620794,18.07586599,8.00,13.753,,3.873,337,16,35,,
T,2023-01-02 08:33:27.999,59.32624978,18.07582788,8.00,14.151,,4.105,337,25,35,,
T,2023-01-02 08:33:28.999,59.32629070,18.07578706,8.00,14.497,,4.283,333,18,35,,
T,2023-01-02 08:33:29.999,59.32632458,18.07574926,8.00,14.395,,4.089,335,16,35,,
T,2023-01-02 08:33:30.999,59.32636427,18.07571274,8.00,14.816,,4.524,336,17,35,,
T,2023-01-02 08:33:31.999,59.32640035,18.07567422,8.00,14.624,,4.293,334,13,35,,
T,2023-01-02 08:33:32.999,59.32643613,18.07564051,8.00,14.643,,4.322,332,8,34,,
T,2023-01-02 08:33:33.999,59.32646987,18.07560486,12.00,14.501,,4.234,331,8,35,,
T,2023-01-02 08:33:34.999,59.32650430,18.07556823,16.00,14.552,,4.175,329,7,34,,
T,2023-01-02 08:33:35.999,59.32653362,18.07552875,16.00,14.015,,3.712,328,8,35,,
T,2023-01-02 08:33:36.999,59.32656208,18.07549409,16.00,13.931,,3.331,322,7,35,,
T,2023-01-02 08:33:37.999,59.32657861,18.07544934,16.00,13.880,,3.695,307,8,35,,
T,2023-01-02 08:33:38.999,59.32659969,18.07539580,16.00,13.981,,3.915,283,7,35,,
T,2023-01-02 08:33:39.999,59.32660068,18.07534070,16.00,13.975,,2.707,276,5,35,,
T,2023-01-02 08:33:40.999,59.32659519,18.07529775,16.00,14.133,,2.377,257,9,35,,
T,2023-01-02 08:33:41.999,59.32659107,18.07525680,16.00,14.189,,2.588,258,8,35,,
T,2023-01-02 08:33:42.999,59.32658327,18.07520062,16.00,14.020,,3.084,257,9,35,,
T,2023-01-02 08:33:43.999,59.32655436,18.07518693,8.00,14.227,,2.955,256,11,35,,
T,2023-01-02 08:33:44.999,59.32653403,18.07514329,8.00,14.591,,3.163,256,8,34,,
T,2023-01-02 08:33:45.999,59.32652819,18.07508137,12.00,15.098,,3.106,257,6,34,,
T,2023-01-02 08:33:46.999,59.32652342,18.07501395,12.00,15.427,,2.526,257,8,35,,
T,2023-01-02 08:33:47.999,59.32652085,18.07497709,48.00,15.437,,1.253,257,4,35,,
T,2023-01-02 08:33:48.999,59.32651668,18.07495011,12.00,15.296,,1.456,250,8,35,,
T,2023-01-02 08:33:49.999,59.32650898,18.07490385,16.00,15.558,,1.230,254,9,35,,
T,2023-01-02 08:33:50.999,59.32650653,18.07486156,16.00,14.974,,1.645,269,7,35,,
T,2023-01-02 08:33:51.999,59.32651952,18.07483396,16.00,16.282,,2.404,321,7,35,,
T,2023-01-02 08:33:52.999,59.32654116,18.07481734,16.00,16.856,,2.350,338,6,35,,
T,2023-01-02 08:33:53.999,59.32656731,18.07479522,16.00,16.382,,2.992,335,8,35,,
T,2023-01-02 08:33:54.999,59.32659375,18.07477616,16.00,16.263,,2.944,336,8,35,,
T,2023-01-02 08:33:55.999,59.32662436,18.07475829,12.00,16.365,,3.351,334,9,35,,
T,2023-01-02 08:33:56.999,59.32665326,18.07473296,12.00,16.164,,3.284,330,8,35,,
T,2023-01-02 08:33:57.999,59.32668411,18.07470615,12.00,16.040,,3.582,334,8,35,,
T,2023-01-02 08:33:58.999,59.32671545,18.07467913,8.00,16.058,,3.726,335,7,35,,
T,2023-01-02 08:33:59.999,59.32674858,18.07465014,16.00,15.897,,3.884,334,8,35,,
T,2023-01-02 08:34:00.999,59.32678277,18.07462149,16.00,15.846,,4.015,335,9,35,,
T,2023-01-02 08:34:01.999,59.32681931,18.07458912,12.00,15.745,,4.171,334,7,35,,
T,2023-01-02 08:34:02.999,59.32685479,18.07454608,12.00,15.873,,4.164,330,27,35,,
T,2023-01-02 08:34:03.999,59.32688681,18.07450366,8.00,15.738,,4.250,327,25,35,,
T,2023-01-02 08:34:04.999,59.32692010,18.07445853,24.00,15.729,,4.277,322,28,35,,
T,2023-01-02 08:34:05.999,59.32695293,18.07441110,12.00,16.007,,4.385,322,28,35,,
T,2023-01-02 08:34:06.999,59.32698511,18.07436383,12.00,15.894,,4.499,326,28,35,,
T,2023-01-02 08:34:07.999,59.32701460,18.07432427,12.00,16.047,,4.412,328,28,35,,
T,2023-01-02 08:34:08.999,59.32704968,18.07428154,16.00,16.145,,4.411,328,28,34,,
T,2023-01-02 08:34:09.999,59.32708532,18.07423575,12.00,16.163,,4.431,328,28,34,,
T,2023-01-02 08:34:10.999,59.32712269,18.07419075,12.00,16.180,,4.544,328,28,35,,
T,2023-01-02 08:34:11.999,59.32716146,18.07414352,12.00,16.189,,4.643,328,28,34,,
T,2023-01-02 08:34:12.999,59.32720034,18.07410297,12.00,16.504,,4.807,328,27,35,,
T,2023-01-02 08:34:13.999,59.32723770,18.07405646,12.00,16.321,,4.764,329,27,35,,
T,2023-01-02 08:34:14.999,59.32727577,18.07401651,12.00,16.479,,4.824,330,28,34,,
T,2023-01-02 08:34:15.999,59.32731229,18.07396534,12.00,16.419,,4.747,327,24,34,,
T,2023-01-02 08:34:16.999,59.32734818,18.07391293,16.00,16.329,,4.812,324,26,34,,
T,2023-01-02 08:34:17.999,59.32738401,18.07386404,16.00,16.343,,4.903,325,27,34,,
T,2023-01-02 08:34:18.999,59.32742223,18.07381604,8.00,16.351,,4.817,334,28,33,,
T,2023-01-02 08:34:19.999,59.32746214,18.07377991,8.00,16.354,,4.989,331,28,35,,
T,2023-01-02 08:34:20.999,59.32750159,18.07374157,8.00,16.118,,5.102,329,26,35,,
T,2023-01-02 08:34:21.999,59.32754051,18.07370268,12.00,16.347,,5.006,328,27,35,,
T,2023-01-02 08:34:22.999,59.32757416,18.07367661,6.00,16.979,,4.891,330,28,35,,
T,2023-01-02 08:34:23.999,59.32761297,18.07363473,12.00,17.140,,4.944,329,24,34,,
T,2023-01-02 08:34:24.999,59.32765327,18.07359101,12.00,17.154,,4.934,329,28,34,,
T,2023-01-02 08:34:25.999,59.32769196,18.07354669,12.00,17.199,,4.844,329,27,34,,
T,2023-01-02 08:34:26.999,59.32773012,18.07350663,12.00,17.402,,4.973,329,28,34,,
T,2023-01-02 08:34:27.999,59.32777004,18.07346227,12.00,17.395,,4.879,328,28,35,,
T,2023-01-02 08:34:28.999,59.32780725,18.07341919,12.00,17.419,,4.857,329,28,34,,
T,2023-01-02 08:34:29.999,59.32784535,18.07337581,12.00,17.389,,4.657,329,28,34,,
T,2023-01-02 08:34:30.999,59.32788216,18.07333468,16.00,17.405,,4.861,329,28,35,,
T,2023-01-02 08:34:31.999,59.32792208,18.07329121,12.00,17.262,,4.961,331,26,35,,
T,2023-01-02 08:34:32.999,59.32796497,18.07324982,12.00,17.393,,5.054,331,26,36,,
T,2023-01-02 08:34:33.999,59.32800526,18.07320636,12.00,17.393,,4.967,336,27,36,,
T,2023-01-02 08:34:34.999,59.32804987,18.07317777,12.00,17.626,,5.209,341,25,36,,
T,2023-01-02 08:34:35.999,59.32809495,18.07315209,16.00,17.725,,5.070,343,27,36,,
T,2023-01-02 08:34:36.999,59.32813853,18.07312698,16.00,17.654,,4.935,344,28,36,,
T,2023-01-02 08:34:37.999,59.32817820,18.07311187,16.00,17.369,,4.992,348,25,36,,
T,2023-01-02 08:34:38.999,59.32822256,18.07309300,16.00,17.563,,4.678,356,28,36,,
T,2023-01-02 08:34:39.999,59.32827000,18.07309069,16.00,17.647,,4.760,358,25,36,,
T,2023-01-02 08:34:40.999,59.32831190,18.07309629,12.00,17.654,,4.717,3,23,36,,
T,2023-01-02 08:34:41.999,59.32835428,18.07310226,12.00,17.662,,4.730,4,27,36,,
T,2023-01-02 08:34:42.999,59.32839364,18.07311238,12.00,17.474,,4.739,5,25,36,,
T,2023-01-02 08:34:43.999,59.32843676,18.07311770,12.00,17.469,,4.765,4,25,36,,
T,2023-01-02 08:34:44.999,59.32847336,18.07313161,12.00,17.281,,4.815,5,28,35,,
T,2023-01-02 08:34:45.999,59.32851392,18.07314666,12.00,17.161,,4.753,8,27,36,,
T,2023-01-02 08:34:46.999,59.32855735,18.07316307,12.00,17.083,,4.881,8,27,36,,
